X,Y,Z,ScaledValTrue
1.0,1.0,4.0,0.063923180103302
1.0,2.0,4.0,0.09300412237644196
1.0,3.0,4.0,0.087517149746418
1.0,4.0,4.0,0.05843621492385864
1.0,5.0,4.0,0.15281207859516144
1.0,6.0,4.0,0.21563786268234253
1.0,7.0,4.0,0.1091906726360321
1.0,8.0,4.0,0.4543209969997406
1.0,9.0,4.0,0.6663923263549805
1.0,10.0,4.0,0.6801097989082336
1.0,11.0,4.0,0.6883402466773987
1.0,12.0,4.0,0.6773662567138672
1.0,13.0,4.0,0.17777776718139648
1.0,14.0,4.0,0.11769548058509827
1.0,15.0,4.0,0.11550069600343704
1.0,16.0,4.0,0.13991770148277283
1.0,17.0,4.0,0.23731137812137604
1.0,18.0,4.0,0.34375855326652527
1.0,19.0,4.0,0.24334704875946045
1.0,20.0,4.0,0.23292182385921478
1.0,21.0,4.0,0.32208502292633057
1.0,22.0,4.0,0.43813443183898926
1.0,23.0,4.0,0.2685871124267578
1.0,24.0,4.0,0.1503429412841797
1.0,25.0,4.0,0.1426611840724945
1.0,26.0,4.0,0.19314129650592804
1.0,27.0,4.0,0.43209877610206604
1.0,28.0,4.0,0.7267490029335022
1.0,29.0,4.0,0.42743486166000366
1.0,30.0,4.0,0.6910836696624756
1.0,31.0,4.0,0.6096022129058838
1.0,32.0,4.0,0.4691358208656311
1.0,33.0,4.0,0.6993141770362854
1.0,34.0,4.0,0.4296296536922455
1.0,35.0,4.0,0.743209958076477
1.0,36.0,4.0,0.2938271462917328
1.0,37.0,4.0,0.21207132935523987
1.0,38.0,4.0,0.1711934208869934
1.0,39.0,4.0,0.7377229332923889
1.0,40.0,4.0,0.7486968040466309
1.0,41.0,4.0,0.7267490029335022
1.0,42.0,4.0,0.743209958076477
1.0,43.0,4.0,0.3283950686454773
1.0,44.0,4.0,0.248834028840065
1.0,45.0,4.0,0.2397805154323578
1.0,46.0,4.0,0.23648834228515625
1.0,47.0,4.0,0.29355281591415405
1.0,48.0,4.0,0.28971195220947266
1.0,49.0,4.0,0.20384088158607483
1.0,50.0,4.0,0.2515774965286255
1.0,51.0,4.0,0.17146776616573334
1.0,52.0,4.0,0.23045268654823303
1.0,53.0,4.0,0.24746228754520416
1.0,54.0,4.0,0.12043897062540054
1.0,55.0,4.0,0.12812072038650513
1.0,56.0,4.0,0.7596707940101624
1.0,57.0,4.0,0.7404664158821106
1.0,58.0,4.0,0.7486968040466309
1.0,59.0,4.0,0.7377229332923889
1.0,60.0,4.0,0.745953381061554
1.0,61.0,4.0,0.7980795502662659
1.0,62.0,4.0,0.7651577591896057
1.0,63.0,4.0,0.3264746367931366
1.0,64.0,4.0,0.2271604835987091
1.0,65.0,4.0,0.3659808039665222
1.0,66.0,4.0,0.341015100479126
1.0,67.0,4.0,0.36817556619644165
1.0,68.0,4.0,0.1267489790916443
1.0,69.0,4.0,0.23374485969543457
1.0,70.0,4.0,0.1829904019832611
1.0,71.0,4.0,0.5629630088806152
1.0,72.0,4.0,0.7596707940101624
1.0,73.0,4.0,0.803566575050354
1.0,74.0,4.0,0.8117969632148743
1.0,75.0,4.0,0.8200274705886841
1.0,76.0,4.0,0.8282579183578491
1.0,77.0,4.0,0.3991769850254059
1.0,78.0,4.0,0.22633744776248932
1.0,79.0,4.0,0.22990398108959198
1.0,80.0,4.0,0.277091920375824
1.0,81.0,4.0,0.14485597610473633
1.0,82.0,4.0,0.8227709531784058
1.0,83.0,4.0,0.8227709531784058
1.0,84.0,4.0,0.7925925850868225
1.0,85.0,4.0,0.7788751721382141
1.0,86.0,4.0,0.795336127281189
1.0,87.0,4.0,0.7514403462409973
1.0,88.0,4.0,0.7596707940101624
1.0,89.0,4.0,0.754183828830719
1.0,90.0,4.0,0.745953381061554
1.0,91.0,4.0,0.16488340497016907
1.0,92.0,4.0,0.192592591047287
1.0,93.0,4.0,0.16104252636432648
1.0,94.0,4.0,0.1720164567232132
1.0,95.0,4.0,0.18737995624542236
1.0,96.0,4.0,0.1495199054479599
1.0,97.0,4.0,0.13689985871315002
1.0,98.0,4.0,0.13415639102458954
1.0,99.0,4.0,0.0
1.0,100.0,4.0,0.7788751721382141
1.0,101.0,4.0,0.736076831817627
1.0,102.0,4.0,0.7514403462409973
1.0,103.0,4.0,0.7871056199073792
1.0,104.0,4.0,0.7925925850868225
1.0,105.0,4.0,0.8117969632148743
1.0,106.0,4.0,0.8255143761634827
1.0,107.0,4.0,0.844718873500824
1.0,108.0,4.0,0.8666666746139526
1.0,109.0,4.0,0.8529492616653442
