X,Y,Z,ScaledValTrue
1.0,1.0,16.0,0.21473225951194763
1.0,2.0,16.0,0.1149769052863121
1.0,3.0,16.0,0.208480566740036
1.0,4.0,16.0,0.18456101417541504
1.0,5.0,16.0,0.3528132438659668
1.0,6.0,16.0,0.39630335569381714
1.0,7.0,16.0,0.5667300820350647
1.0,8.0,16.0,0.5091057419776917
1.0,9.0,16.0,0.2848600149154663
1.0,10.0,16.0,0.21636314690113068
1.0,11.0,16.0,0.11606415361166
1.0,12.0,16.0,0.05001359060406685
1.0,13.0,16.0,0.052188098430633545
1.0,14.0,16.0,0.027996739372611046
1.0,15.0,16.0,0.013590649701654911
1.0,16.0,16.0,0.030714871361851692
1.0,17.0,16.0,0.0742049515247345
1.0,18.0,16.0,0.09431912004947662
1.0,19.0,16.0,0.13726557791233063
1.0,20.0,16.0,0.17504756152629852
1.0,21.0,16.0,0.1258494257926941
1.0,22.0,16.0,0.18782278895378113
1.0,23.0,16.0,0.16634957492351532
1.0,24.0,16.0,0.10437619686126709
1.0,25.0,16.0,0.08507747203111649
1.0,26.0,16.0,0.06142973527312279
1.0,27.0,16.0,0.0451209619641304
1.0,28.0,16.0,0.03995651379227638
1.0,29.0,16.0,0.08562109619379044
1.0,30.0,16.0,0.08997011184692383
1.0,31.0,16.0,0.15765154361724854
1.0,32.0,16.0,0.07936940342187881
1.0,33.0,16.0,0.03560750186443329
1.0,34.0,16.0,0.04702364653348923
1.0,35.0,16.0,0.09649361670017242
1.0,36.0,16.0,0.18238651752471924
1.0,37.0,16.0,0.06469149887561798
1.0,38.0,16.0,0.1022016853094101
1.0,39.0,16.0,0.12340310961008072
1.0,40.0,16.0,0.23566187918186188
1.0,41.0,16.0,0.17504756152629852
1.0,42.0,16.0,0.1364501267671585
1.0,43.0,16.0,0.27371570467948914
1.0,44.0,16.0,0.31013861298561096
1.0,45.0,16.0,0.34438708424568176
1.0,46.0,16.0,0.25414514541625977
1.0,47.0,16.0,0.3484642505645752
