X,Y,Z,ScaledValHard
26.0,41.0,4.0,0.7486968040466309
26.0,46.0,4.0,0.5895748138427734
26.0,51.0,4.0,0.5100137591362
26.0,56.0,4.0,0.3086419701576233
26.0,61.0,4.0,0.16296297311782837
26.0,66.0,4.0,0.18436214327812195
26.0,71.0,4.0,0.7157750129699707
26.0,76.0,4.0,0.19807957112789154
26.0,81.0,4.0,0.7514403462409973
26.0,86.0,4.0,0.4817558228969574
26.0,91.0,4.0,0.5936899781227112
26.0,96.0,4.0,0.3379972577095032
26.0,101.0,4.0,0.15967078506946564
26.0,106.0,4.0,0.11001372337341309
26.0,111.0,4.0,0.34458160400390625
26.0,116.0,4.0,0.22770918905735016
26.0,121.0,4.0,0.16954733431339264
26.0,126.0,4.0,0.11248286068439484
31.0,1.0,4.0,0.7733882069587708
31.0,6.0,4.0,0.06913580745458603
31.0,11.0,4.0,0.29931414127349854
31.0,16.0,4.0,0.2850480377674103
31.0,21.0,4.0,0.23182442784309387
31.0,26.0,4.0,0.219204381108284
31.0,31.0,4.0,0.12647463381290436
31.0,36.0,4.0,0.29135802388191223
31.0,41.0,4.0,0.7898491621017456
31.0,46.0,4.0,0.5163237452507019
31.0,51.0,4.0,0.6540466547012329
31.0,56.0,4.0,0.5681756138801575
31.0,61.0,4.0,0.18930041790008545
31.0,66.0,4.0,0.7267490029335022
31.0,71.0,4.0,0.12016461044549942
31.0,76.0,4.0,0.17860083281993866
31.0,81.0,4.0,0.25212621688842773
31.0,86.0,4.0,0.754183828830719
31.0,91.0,4.0,0.15775035321712494
31.0,96.0,4.0,0.21810699999332428
31.0,101.0,4.0,0.10342936217784882
31.0,106.0,4.0,0.26392319798469543
31.0,111.0,4.0,0.1544581800699234
31.0,116.0,4.0,0.052674900740385056
31.0,121.0,4.0,0.16954733431339264
31.0,126.0,4.0,0.29135802388191223
36.0,1.0,4.0,0.6718792915344238
36.0,6.0,4.0,0.6691358089447021
36.0,11.0,4.0,0.22359395027160645
36.0,16.0,4.0,0.37585732340812683
36.0,21.0,4.0,0.1860082447528839
36.0,26.0,4.0,0.219204381108284
36.0,31.0,4.0,0.14238683879375458
36.0,36.0,4.0,0.28751713037490845
36.0,41.0,4.0,0.844718873500824
36.0,46.0,4.0,0.42112481594085693
36.0,51.0,4.0,0.5687242746353149
36.0,56.0,4.0,0.5039780735969543
36.0,61.0,4.0,0.8090535402297974
36.0,66.0,4.0,0.4814814627170563
36.0,71.0,4.0,0.7651577591896057
36.0,76.0,4.0,0.7514403462409973
36.0,81.0,4.0,0.11632373929023743
36.0,86.0,4.0,0.22469136118888855
36.0,91.0,4.0,0.8611797094345093
36.0,96.0,4.0,0.11193416267633438
36.0,101.0,4.0,0.2576131522655487
36.0,106.0,4.0,0.4030178487300873
36.0,111.0,4.0,0.1632373183965683
36.0,116.0,4.0,0.12427984178066254
36.0,121.0,4.0,0.14183813333511353
36.0,126.0,4.0,0.46392321586608887
41.0,1.0,4.0,0.13196159899234772
41.0,6.0,4.0,0.30644720792770386
41.0,11.0,4.0,0.7267490029335022
41.0,16.0,4.0,0.7102880477905273
41.0,21.0,4.0,0.7733882069587708
41.0,26.0,4.0,0.8200274705886841
41.0,31.0,4.0,0.8227709531784058
41.0,36.0,4.0,0.9160494208335876
41.0,41.0,4.0,0.8364883661270142
41.0,46.0,4.0,0.8145405054092407
41.0,51.0,4.0,0.7898491621017456
41.0,56.0,4.0,0.8090535402297974
41.0,61.0,4.0,0.8008230924606323
41.0,66.0,4.0,0.8227709531784058
41.0,71.0,4.0,0.7733882069587708
41.0,76.0,4.0,0.7898491621017456
41.0,81.0,4.0,0.7871056199073792
41.0,86.0,4.0,0.19972564280033112
41.0,91.0,4.0,0.2271604835987091
41.0,96.0,4.0,0.8227709531784058
41.0,101.0,4.0,0.7596707940101624
41.0,106.0,4.0,0.2211248129606247
41.0,111.0,4.0,0.4150891602039337
41.0,116.0,4.0,0.13251030445098877
41.0,121.0,4.0,0.27873799204826355
41.0,126.0,4.0,0.3371742069721222
46.0,1.0,4.0,0.2823045253753662
46.0,6.0,4.0,0.7486968040466309
46.0,11.0,4.0,0.7898491621017456
46.0,16.0,4.0,0.11495199799537659
46.0,21.0,4.0,0.8474622964859009
46.0,26.0,4.0,0.8282579183578491
46.0,31.0,4.0,0.13717421889305115
46.0,36.0,4.0,0.1898490935564041
46.0,41.0,4.0,0.8776406645774841
46.0,46.0,4.0,0.8227709531784058
46.0,51.0,4.0,0.831001341342926
46.0,56.0,4.0,0.8172839283943176
46.0,61.0,4.0,0.16351166367530823
46.0,66.0,4.0,0.2990397810935974
